employee-id,month-year,overtime-type,hours,amount,location,job-family,overtime-category
4851,January 2014,Legal Holiday Premium Pay,8.0,499.04,Factory A,Manufacturing,Premium Pay
6997,January 2014,Rest Day Pay,16.0,1118.4,Factory A,Manufacturing,Premium Pay
7159,January 2014,Legal Holiday Premium Pay,8.0,766.8,Factory A,Engineering and Technical Support,Premium Pay
3257,January 2014,Night Premium,48.0,771.36,Factory A,Manufacturing,Night Differential
4975,January 2014,OT Regular,12.0,1102.32,Factory A,Manufacturing,OT
4191,January 2014,Night Premium,32.0,196.16,Factory A,Manufacturing,Night Differential
5062,January 2014,Legal Holiday Premium Pay,5.5,415.2,Factory A,"Supply Chain, Logistics and Procurement",Premium Pay
6634,January 2014,Special Holiday Premium,8.0,172.4,Factory A,Manufacturing,Premium Pay
8279,January 2014,OT Regular,17.88,2823.79,Factory A,Manufacturing,OT
8749,January 2014,Night Premium,16.0,88.16,Factory A,Manufacturing,Night Differential
6448,January 2014,OT Regular,23.0,1962.82,Factory A,Engineering and Technical Support,OT
2112,January 2014,OT Regular,43.83,6512.7,Factory A,Engineering and Technical Support,OT
250,January 2014,Special Holiday Premium,8.0,208.0,Factory A,Engineering and Technical Support,Premium Pay
3547,January 2014,Night Premium,22.0,153.56,Factory A,Manufacturing,Night Differential
6088,January 2014,Special Holiday Premium,8.0,338.08,Factory A,Manufacturing,Premium Pay
5930,January 2014,Rest Day Pay,2.0,122.68,Factory A,Manufacturing,Premium Pay
3462,January 2014,Night Premium,14.0,141.96,Factory A,Engineering and Technical Support,Night Differential
7007,January 2014,Rest Day Premium Pay,16.0,389.12,Factory A,Manufacturing,Premium Pay
5620,January 2014,Night Premium,36.0,270.36,Factory A,Manufacturing,Night Differential
917,January 2014,Rest Day Pay,14.0,1196.44,Factory A,Manufacturing,Premium Pay
3868,January 2014,Night Premium,48.0,914.4,Factory A,Engineering and Technical Support,Night Differential
80,January 2014,Legal Holiday Premium Pay,7.98,428.93,Factory A,Engineering and Technical Support,Premium Pay
1266,January 2014,Night Premium,48.0,852.0,Factory A,Manufacturing,Night Differential
7899,January 2014,Night Premium,52.1,658.54,Factory A,Research and Development,Night Differential
4475,January 2014,Rest Day Pay,5.0,398.95,Factory A,Manufacturing,Premium Pay
2500,January 2014,Legal Holiday Pay,8.0,425.52,Factory A,Manufacturing,Premium Pay
8804,January 2014,OT Special Holiday,4.0,1391.88,Factory A,Manufacturing,OT
3841,January 2014,Legal Holiday Premium Pay,8.0,851.12,Factory A,Manufacturing,Premium Pay
6383,January 2014,Rest Day Premium Pay,15.97,732.86,Factory A,Manufacturing,Premium Pay
4323,January 2014,OT Regular,8.0,971.12,Factory A,Manufacturing,OT
3504,January 2014,Rest Day Premium Pay,16.0,267.04,Factory A,Engineering and Technical Support,Premium Pay
6791,January 2014,Rest Day Pay,16.0,1223.04,Factory A,Manufacturing,Premium Pay
1577,January 2014,Special Holiday Premium,6.0,163.62,Factory A,Manufacturing,Premium Pay
1660,January 2014,OT Regular,20.0,2074.6,Factory A,Engineering and Technical Support,OT
7323,January 2014,Rest Day Premium Pay,16.0,365.44,Factory A,"Supply Chain, Logistics and Procurement",Premium Pay
105,January 2014,Special Holiday Premium,8.0,265.28,Factory A,Manufacturing,Premium Pay
3212,January 2014,Rest Day Premium Pay,7.47,143.42,Factory A,Engineering and Technical Support,Premium Pay
7916,January 2014,OT Regular,42.0,3770.76,Factory A,"Supply Chain, Logistics and Procurement",OT
1193,January 2014,Rest Day Pay,16.0,2022.4,Factory A,Research and Development,Premium Pay
7792,January 2014,Special Holiday Premium,8.0,208.0,Factory A,Manufacturing,Premium Pay
